"Ull ge
MM"		"Volume
C,Metre"	"Weight
Tonne "		"LCG
Metre"	"TCG
Metre"		"VCG
Metre"	"  M
M,-MT"

Tank Hold1BC
	4950	248,166		322,62		72,348  	0,004 		3,174	5499,63
	4975	242,690		315,50		72,344  	0,004 		3,159	5444,85
	5000	237,244		308,42		72,339  	0,004 		3,144	5392,17
	5025	231,828		301,38		72,335  	0,004 		3,130	5340,38
	5050	226,438		294,37		72,329  	0,004 		3,115	5289,43
	5075	221,078		287,40		72,324  	0,004 		3,100	5242,10
	5100	215,746		280,47		72,318  	0,004 		3,085	5196,54
	5125	210,443		273,58		72,313  	0,004 		3,071	5150,22
	5150	205,168		266,72		72,306  	0,004 		3,056	5105,14
	5175	199,922		259,90		72,300  	0,004 		3,041	5060,36
	5200	194,704		253,12		72,293  	0,004 		3,026	5010,57
	5225	189,516		246,37		72,286  	0,004 		3,011	4962,13
	5250	184,353		239,66		72,2791		0,004 		2,996	4914,61
	5275	179,220		232,99		72,272  	0,004 		2,981	4863,27
	5300	174,100		226,33		72,265  	0,004 		2,966	4806,57
	5325	168,969		219,66		72,257  	0,005 		2,951	4753,82
	5350	163,871		213,03		72,250  	0,006 		2,936	4702,83
	5375	158,807		206,45		72,242  	0,007 		2,921	4646,14
	5400	153,755		199,88		72,234  	0,008 		2,905	4576,53
	5425	148,699		193,31		72,227  	0,008 		2,890	4511,02
	5450	143,685		186,79		72,2191		0,008 		2,874	4447,72
	5475	138,712		180,33		72,210  	0,008 		2,858	4369,27
	5500	133,790		173,93		72,202  	0,008 		2,843	4280,92
	5525	128,918		167,59		72,1941		0,008 		2,827	4196,17
	5550	124,093		161,32		72,185  	0,008 		2,811	4120,52
	5575	119,316		155,11		72,176  	0,008 		2,795	4041,98
	5600	114,595		148,97		72,167  	0,008 		2,779	3949,28
	5625	109,930		142,91		72,158  	0,008 		2,762	3861,09
	5650	105,323		136,92		72,149  	0,008 		2,746	3777,29
	5675	100,774		131,01		72,140  	0,008 		2,729	3678,91
	5700	96,293		125,18		72,131  	0,008 		2,713	3570,11
	5725	91,881		119,45		72,1221		0,008 		2,696	3462,99
	5750	87,539		113,80		72,1131		0,008 		2,679	3361,47
	5775	83,273		108,25		72,104  	0,007 		2,662	3241,44
	5800	79,090		102,82		72,095  	0,007 		2,644	3121,74
	5825	74,989		97,49		72,085  	0,007 		2,627	3008,55
	5850	70,974		92,27		72,075  	0,007 		2,609	2850,40
	5875	67,075		87,20		72,065  	0,007 		2,591	2629,39
	5900	63,300		82,29		72,055  	0,007 		2,574	2420,09
	5925	59,647		77,54		72,044  	0,007 		2,556	2222,49
	5950	56,117		72,95		72,033  	0,006 		2,538	2036,24
	5975	52,708		68,52		72,021  	0,006 		2,520	1861,16
	6000	49,421		64,25		72,009  	0,006 		2,502	1696,79
	6025	46,254		60,13		71,997  	0,006 		2,484	1542,76
	6050	43,207		56,17		71,984  	0,006 		2,466	1398,74
	6075	40,278		52,36		71,9711		0,005 		2,448	1264,36
	6100	37,467		48,71		71,959  	0,005 		2,430	1139,28
	6125	34,774		45,21		71,946  	0,005 		2,412	1023,12
	6150	32,199		41,86		71,934  	0,005 		2,393	915,55
	6175	29,739		38,66		71,922  	0,005 		2,375	816,20
	6200	27,396		35,61		71,910  	0,004 		2,356	724,76
	6225	25,166		32,72		71,899  	0,004 		2,338	640,73
	6250	23,053		29,97		71,890  	0,004 		2,319	563,92
	6275	21,052		27,37		71,8821		0,003 		2,301	493,95
	6300	19,159		24,91		71,8741		0,003 		2,282	430,34
	6325	17,375		22,59		71,867  	0,003 		2,263	372,72
	6350	15,699		20,41		71,862  	0,002 		2,244	320,81
	6375	14,132		18,37		71,859  	0,002 		2,225	274,29
	6400	12,668		16,47		71,859  	0,002 		2,205	232,92
	6425	11,303		14,69		71,859  	0,001 		2,186	196,05
	6450	10,040		13,05		71,859  	0,001 		2,167	163,70
	6475	8,870		11,53		71,859  	0,001 		2,147	135,50
	6500	7,788		10,12		71,8591		0,000		2,127	110,87
	6525	6,791		8,83		71,859  	0,000		2,106	89,45
	6550	5,885		7,65		71,859  	0,000		2,086	71,13
	6575	5,069		6,59		71,858  	0,000		2,064	55,64
	6600	4,336		5,64		71,857  	0,000		2,043	42,79
	6625	3,679		4,78		71,855  	0,000		2,021	32,11
	6630	3,557		4,62		71,854  	0,000		2,017	30,23

Tank HOLD3C
	500		1356,675	1763,68		50,880  	0,007 		5,543	7397,37
	525		1350,385	1755,50		50,8801		0,007 		5,530	7397,37
	550		1344,094	1747,32		50,880  	0,007 		5,518	7397,37
	575		1337,804	1739,14		50,8811		0,007 		5,505	7397,36
	600		1331,513	1730,97		50,881  	0,007 		5,492	7397,36
	625		1325,223	1722,79		50,881  	0,007 		5,480	7397,37
	650		1318,932	1714,61		50,881  	0,007 		5,467	7397,36
	675		1312,641	1706,43		50,8811		0,007 		5,454	7397,36
	700		1306,350	1698,26		50,882  	0,007 		5,442	7397,37
	725		1300,060	1690,08		50,8821		0,007 		5,429	7397,36
	750		1293,769	1681,90		50,882  	0,007 		5,416	7397,36
	775		1287,479	1673,72		50,882  	0,007 		5,404	7397,36
	800		1281,188	1665,54		50,883  	0,007 		5,391	7397,36
	825		1274,897	1657,37		50,883  	0,007 		5,378	7397,37
	850		1268,607	1649,19		50,883  	0,007 		5,365	7397,37
	875		1262,316	1641,01		50,883  	0,007 		5,353	7397,37
	900		1256,026	1632,83		50,884  	0,007 		5,340	7397,36
	925		1249,735	1624,66		50,8841		0,007 		5,327	7397,37
	950		1243,444	1616,48		50,8841		0,007 		5,315	7397,37
	975		1237,154	1608,30		50,8841		0,007 		5,302	7397,37
	1000	1230,863	1600,12		50,8851		0,007 		5,289	7397,36
	1025	1224,572	1591,94		50,885  	0,007 		5,276	7397,37
	1050	1218,282	1583,77		50,885  	0,007 		5,264	7397,36
	1075	1211,991	1575,59		50,885  	0,007 		5,251	7397,36
	1100	1205,700	1567,41		50,8861		0,007 		5,238	7397,36
	1125	1199,410	1559,23		50,8861		0,007 		5,225	7397,37
	1150	1193,119	1551,06		50,886  	0,007 		5,213	7397,36
	1175	1186,829	1542,88		50,886  	0,007 		5,200	7397,36
	1200	1180,538	1534,70		50,887  	0,007 		5,187	7397,36
	1225	1174,247	1526,52		50,887  	0,007 		5,175	7397,36
	1250	1167,957	1518,34		50,8871		0,007 		5,162	7397,37
	1275	1161,666	1510,17		50,888  	0,007 		5,149	7397,36
	1300	1155,375	1501,99		50,888  	0,007 		5,136	7397,37
	1325	1149,085	1493,81		50,888  	0,007 		5,124	7397,37
	1350	1142,794	1485,63		50,888  	0,007 		5,111	7397,37
	1375	1136,504	1477,45		50,889  	0,007 		5,098	7397,37
	1400	1130,213	1469,28		50,889  	0,007 		5,085	7397,37
	1425	1123,922	1461,10		50,889  	0,007 		5,073	7397,37
	1450	1117,632	1452,92		50,8901		0,007 		5,060	7397,36
	1475	1111,341	1444,74		50,890  	0,007 		5,047	7397,37
	1500	1105,051	1436,57		50,8901		0,007 		5,034	7397,36
	1525	1098,760	1428,39		50,8911		0,007 		5,021	7397,37
	1550	1092,469	1420,21		50,891  	0,007 		5,009	7397,37
	1575	1086,179	1412,03		50,891  	0,007 		4,996	7397,36
	1600	1079,888	1403,85		50,892  	0,007 		4,983	7397,37
	1625	1073,597	1395,68		50,892  	0,007 		4,970	7397,36
	1650	1067,307	1387,50		50,892  	0,007 		4,958	7397,37
	1675	1061,016	1379,32		50,8931		0,007 		4,945	7397,36
	1700	1054,725	1371,14		50,8931		0,007 		4,932	7397,36
	1725	1048,435	1362,96		50,8931		0,007 		4,919	7397,36
	1750	1042,144	1354,79		50,8941		0,007 		4,906	7397,37
	1775	1035,854	1346,61		50,894  	0,007 		4,894	7397,37
	1800	1029,563	1338,43		50,8941		0,007 		4,881	7397,37
	1825	1023,272	1330,25		50,8951		0,007 		4,868	7397,37
	1850	1016,982	1322,08		50,895  	0,007 		4,855	7397,37
	1875	1010,691	1313,90		50,895  	0,007 		4,842	7397,37
	1900	1004,400	1305,72		50,896  	0,007 		4,829	7397,36
	1925	998,110		1297,54		50,896  	0,007 		4,817	7397,36
	1950	991,819		1289,36		50,8971		0,007 		4,804	7397,37
	1975	985,529		1281,19		50,897  	0,007 		4,791	7397,37
	2000	979,238		1273,01		50,897  	0,007 		4,778	7397,37
	2025	972,947		1264,83		50,8981		0,007 		4,765	7397,37
	2050	966,657		1256,65		50,898  	0,007 		4,752	7397,36
	2075	960,366		1248,48		50,899  	0,007 		4,739	7397,37
	2100	954,075		1240,30		50,899  	0,007 		4,727	7397,36
	2125	947,785		1232,12		50,900  	0,007 		4,714	7397,37
	2150	941,494		1223,94		50,900  	0,007 		4,701	7397,36
	2175	935,203		1215,76		50,900  	0,007 		4,688	7397,37
	2200	928,913		1207,59		50,901  	0,007 		4,675	7397,36
	2225	922,622		1199,41		50,901  	0,007 		4,662	7397,37
	2250	916,332		1191,23		50,9021		0,007 		4,649	7397,36
	2275	910,041		1183,05		50,902  	0,007 		4,636	7397,36
	2300	903,750		1174,87		50,903  	0,007 		4,624	7397,36
	2325	897,459		1166,70		50,903  	0,007 		4,611	7397,37
	2350	891,169		1158,52		50,9041		0,007 		4,598	7397,37
	2375	884,878		1150,34		50,9041		0,007 		4,585	7397,37
	2400	878,587		1142,16		50,905  	0,007 		4,572	7397,37
	2425	872,297		1133,99		50,905  	0,007 		4,559	7397,37
	2450	866,006		1125,81		50,906  	0,007 		4,546	7397,36
	2475	859,715		1117,63		50,906  	0,007 		4,533	7397,37
	2500	853,425		1109,45		50,907  	0,007 		4,520	7397,36
	2525	847,134		1101,27		50,9071		0,007 		4,507	7397,36
	2550	840,843		1093,10		50,9081		0,007 		4,494	7397,37
	2575	834,553		1084,92		50,908  	0,007 		4,481	7397,37
	2600	828,262		1076,74		50,909  	0,007 		4,468	7397,36
	2625	821,972		1068,56		50,909  	0,007 		4,455	7397,37
	2650	815,681		1060,39		50,910  	0,007 		4,442	7397,37
	2675	809,390		1052,21		50,9111		0,007 		4,429	7397,37
	2700	803,100		1044,03		50,9111		0,007 		4,416	7397,36
	2725	796,809		1035,85		50,9121		0,007 		4,403	7397,36
	2750	790,519		1027,67		50,912  	0,007 		4,390	7397,37
	2775	784,228		1019,50		50,913  	0,007 		4,377	7397,36
	2800	777,937		1011,32		50,9141		0,007 		4,364	7397,37
	2825	771,646		1003,14		50,914  	0,007 		4,351	7397,36
	2850	765,355		994,96		50,9151		0,007 		4,338	7397,37
	2875	759,065		986,78		50,9161		0,007 		4,325	7397,37
	2900	752,774		978,61		50,9161		0,007 		4,312	7397,36
	2925	746,484		970,43		50,917  	0,007 		4,299	7397,36
	2950	740,193		962,25		50,918  	0,007 		4,286	7397,36
	2975	733,902		954,07		50,9181		0,007 		4,272	7397,36
	3000	727,612		945,90		50,919  	0,007 		4,259	7397,37
	3025	721,321		937,72		50,920  	0,007 		4,246	7397,37
	3050	715,031		929,54		50,921  	0,007 		4,233	7397,37
	3075	708,740		921,36		50,921  	0,007 		4,220	7397,36
	3100	702,449		913,18		50,9221		0,007 		4,207	7397,37
	3125	696,159		905,01		50,923  	0,007 		4,194	7397,36
	3150	689,868		896,83		50,924  	0,007 		4,180	7397,37
	3175	683,577		888,65		50,9251		0,007 		4,167	7397,36
	3200	677,286		880,47		50,9251		0,007 		4,154	7397,37
	3225	670,996		872,29		50,9261		0,007 		4,141	7397,36
	3250	664,705		864,12		50,927  	0,007 		4,127	7397,37
	3275	658,415		855,94		50,928  	0,007 		4,114	7397,36
	3300	652,124		847,76		50,929  	0,007 		4,101	7397,36
	3325	645,833		839,58		50,930  	0,007 		4,088	7397,37
	3350	639,542		831,41		50,9311		0,007 		4,074	7397,37
	3375	633,252		823,23		50,9321		0,007 		4,061	7397,36
	3400	626,961		815,05		50,933  	0,007 		4,048	7397,37
	3425	620,671		806,87		50,9341		0,007 		4,034	7397,36
	3450	614,380		798,69		50,935  	0,007 		4,021	7397,36
	3475	608,089		790,52		50,936  	0,007 		4,007	7397,37
	3500	601,798		782,34		50,9371		0,007 		3,994	7397,37
	3525	595,508		774,16		50,9381		0,007 		3,981	7397,36
	3550	589,217		765,98		50,939  	0,007 		3,967	7397,36
	3575	582,927		757,80		50,940  	0,007 		3,954	7397,37
	3600	576,636		749,63		50,9411		0,007 		3,940	7397,37
	3625	570,345		741,45		50,942  	0,007 		3,927	7397,37
	3650	564,055		733,27		50,944  	0,007 		3,913	7397,36
	3675	557,764		725,09		50,945  	0,007 		3,899	7397,37
	3700	551,473		716,92		50,946  	0,007 		3,886	7397,37
	3725	545,183		708,74		50,9471		0,007 		3,872	7397,36
	3750	538,892		700,56		50,949  	0,007 		3,859	7397,36
	3775	532,601		692,38		50,950  	0,007 		3,845	7397,37
	3800	526,312		684,21		50,9511		0,007 		3,831	7388,94
	3825	520,025		676,03		50,9531		0,006 		3,817	7377,66
	3850	513,742		667,86		50,954  	0,006 		3,804	7363,26
	3875	507,464		659,70		50,956  	0,006 		3,790	7349,20
	3900	501,190		651,55		50,957  	0,006 		3,776	7334,81
	3925	494,921		643,40		50,959  	0,006 		3,762	7320,55
	3950	488,656		635,25		50,9601		0,006 		3,748	7305,46
	3975	482,397		627,12		50,962  	0,006 		3,735	7290,15
	4000	476,143		618,99		50,963  	0,006 		3,721	7275,18
	4025	469,894		610,86		50,9651		0,006 		3,707	7258,88
	4050	463,651		602,75		50,9661		0,006 		3,693	7238,96
	4075	457,415		594,64		50,9681		0,006 		3,679	7218,61
	4100	451,187		586,54		50,970  	0,006 		3,665	7197,91
	4125	444,965		578,45		50,971  	0,006 		3,651	7177,48
	4150	438,751		570,38		50,973  	0,006 		3,637	7154,92
	4175	432,546		562,31		50,975  	0,006 		3,623	7131,66
	4200	426,349		554,25		50,976  	0,006 		3,608	7108,84
	4225	420,161		546,21		50,9781		0,006 		3,594	7086,46
	4250	413,981		538,17		50,980  	0,006 		3,580	7061,57
	4275	407,811		530,15		50,982  	0,006 		3,566	7035,94
	4300	401,650		522,14		50,9841		0,006 		3,552	7010,74
	4325	395,499		514,15		50,986  	0,006 		3,537	6985,98
	4350	389,358		506,16		50,9881		0,006 		3,523	6958,09
	4375	383,229		498,20		50,990  	0,006 		3,508	6923,92
	4400	377,114		490,25		50,992  	0,006 		3,494	6875,54
	4425	371,022		482,33		50,9941		0,005 		3,480	6816,79
	4450	364,952		474,44		50,9961		0,005 		3,465	6756,26
	4475	358,905		466,58		50,998  	0,005 		3,451	6696,72
	4500	352,882		458,75		51,0001		0,005 		3,436	6638,80
	4525	346,883		450,95		51,0021		0,005 		3,422	6582,46
	4550	340,908		443,18		51,004  	0,005 		3,407	6523,03
	4575	334,959		435,45		51,006  	0,005 		3,393	6459,82
	4600	329,037		427,75		51,009  	0,005 		3,378	6398,41
	4625	323,143		420,09		51,0111		0,005 		3,364	6329,91
	4650	317,280		412,46		51,013  	0,005 		3,349	6255,59
	4675	311,449		404,88		51,0161		0,005 		3,335	6183,07
	4700	305,641		397,33		51,019  	0,005 		3,320	6113,16
	4725	299,857		389,81		51,0211		0,005 		3,305	6045,43
	4750	294,107		382,34		51,0241		0,005 		3,291	5979,10
	4775	288,389		374,91		51,0271		0,005 		3,276	5914,14
	4800	282,694		367,50		51,030  	0,005 		3,262	5851,16
	4825	277,025		360,13		51,0331		0,005 		3,247	5789,73
	4850	271,390		352,81		51,0371		0,005 		3,233	5729,41
	4875	265,787		345,52		51,040  	0,005 		3,218	5671,08
	4900	260,216		338,28		51,044  	0,004 		3,203	5614,55
	4925	254,676		331,08		51,0481		0,004 		3,189	5558,99
	4950	249,166		323,92		51,0521		0,004 		3,174	5504,42
	4975	243,686		316,79		51,0571		0,004 		3,160	5451,61
	5000	238,235		309,71		51,0611		0,004 		3,145	5400,72
	5025	232,813		302,66		51,0661		0,004 		3,130	5350,54
	5050	227,416		295,64		51,0721		0,004 		3,116	5301,03
	5075	222,047		288,66		51,078  	0,004 		3,101	5254,94
	5100	216,705		281,72		51,0841		0,004 		3,086	5211,02
	5125	211,389		274,81		51,0901		0,004 		3,071	5168,04
	5150	206,099		267,93		51,0961		0,004 		3,057	5125,95
	5175	200,834		261,08		51,103  	0,004 		3,042	5082,49
	5200	195,597		254,28		51,1101		0,004 		3,027	5033,42
	5225	190,388		247,50		51,1181		0,004 		3,012	4985,54
	5250	185,203		240,76		51,125  	0,004 		2,997	4938,45
	5275	180,045		234,06		51,1331		0,004 		2,982	4887,36
	5300	174,901		227,37		51,1401		0,004 		2,967	4830,84
	5325	169,742		220,67		51,1481		0,005 		2,952	4778,16
	5350	164,617		214,00		51,1561		0,006 		2,937	4727,23
	5375	159,523		207,38		51,164  	0,007 		2,922	4669,04
	5400	154,442		200,77		51,172  	0,008 		2,906	4597,88
	5425	149,358		194,16		51,180  	0,008 		2,891	4530,86
	5450	144,314		187,61		51,188  	0,008 		2,875	4466,12
	5475	139,312		181,11		51,196  	0,008 		2,859	4386,06
	5500	134,361		174,67		51,2051		0,008 		2,844	4296,39
	5525	129,457		168,29		51,2141		0,008 		2,828	4210,41
	5550	124,596		161,97		51,224  	0,008 		2,812	4133,85
	5575	119,784		155,72		51,233  	0,008 		2,796	4054,60
	5600	115,028		149,54		51,243  	0,008 		2,779	3961,20
	5625	110,330		143,43		51,2531		0,008 		2,763	3872,30
	5650	105,689		137,40		51,263  	0,008 		2,747	3787,79
	5675	101,108		131,44		51,272  	0,008 		2,730	3688,68
	5700	96,596		125,57		51,282  	0,008 		2,713	3579,17
	5725	92,151		119,80		51,2921		0,008 		2,696	3471,45
	5750	87,773		114,11		51,3011		0,008 		2,679	3369,47
	5775	83,474		108,52		51,3101		0,007 		2,662	3248,82
	5800	79,259		103,04		51,319  	0,007 		2,645	3128,50
	5825	75,129		97,67		51,328  	0,007 		2,627	3013,27
	5850	71,088		92,41		51,3381		0,007 		2,610	2849,29
	5875	67,168		87,32		51,348  	0,007 		2,592	2626,99
	5900	63,377		82,39		51,358  	0,007 		2,574	2417,66
	5925	59,710		77,62		51,368  	0,007 		2,556	2220,34
	5950	56,166		73,02		51,378  	0,006 		2,538	2034,38
	5975	52,745		68,57		51,389  	0,006 		2,520	1859,44
	6000	49,446		64,28		51,400  	0,006 		2,502	1695,18
	6025	46,269		60,15		51,412  	0,006 		2,484	1541,25
	6050	43,214		56,18		51,4241		0,006 		2,466	1396,99
	6075	40,281		52,36		51,4361		0,005 		2,448	1262,24
	6100	37,469		48,71		51,449  	0,005 		2,430	1137,21
	6125	34,775		45,21		51,4611		0,005 		2,412	1021,35
	6150	32,199		41,86		51,474  	0,005 		2,393	914,05
	6175	29,739		38,66		51,4861		0,005 		2,375	814,95
	6200	27,395		35,61		51,4971		0,004 		2,357	723,75
	6225	25,165		32,71		51,508  	0,004 		2,338	639,92
	6250	23,052		29,97		51,5181		0,004 		2,319	563,28
	6275	21,051		27,37		51,526  	0,003 		2,301	493,48
	6300	19,159		24,91		51,5341		0,003 		2,282	430,01
	6325	17,374		22,59		51,540  	0,003 		2,263	372,51
	6350	15,699		20,41		51,5461		0,002 		2,244	320,71
	6375	14,132		18,37		51,5481		0,002 		2,225	274,28
	6400	12,668		16,47		51,549  	0,002 		2,206	232,99
	6425	11,303		14,69		51,5491		0,001 		2,186	196,18
	6450	10,040		13,05		51,548  	0,001 		2,167	163,89
	6475	8,869		11,53		51,5471		0,001 		2,147	135,72
	6500	7,787		10,12		51,5461		0,000		2,127	111,12
	6525	6,789		8,83		51,5451		0,000		2,107	89,70
	6550	5,883		7,65		51,5431		0,000		2,086	71,38
	6575	5,066		6,59		51,541  	0,000		2,065	55,89
	6600	4,333		5,63		51,538  	0,000		2,044	43,03
	6625	3,674		4,78		51,533  	0,000		2,022	32,33
	6630	3,552		4,62		51,5321		0,000		2,017	30,45

Tank  HOLD4C
	500		1355,913	1762,69		34,724  	0,007 		5,544	7394,65
	525		1349,623	1754,51		34,724  	0,007 		5,531	7394,61
	550		1343,333	1746,33		34,724  	0,007 		5,518	7394,56
	575		1337,044	1738,16		34,724  	0,007 		5,506	7394,52
	600		1330,754	1729,98		34,723  	0,007 		5,493	7394,48
	625		1324,464	1721,80		34,723  	0,007 		5,480	7394,44
	650		1318,174	1713,63		34,723  	0,007 		5,468	7394,40
	675		1311,884	1705,45		34,723  	0,007 		5,455	7394,36
	700		1305,594	1697,27		34,723  	0,007 		5,442	7394,31
	725		1299,305	1689,10		34,722  	0,007 		5,430	7394,27
	750		1293,015	1680,92		34,722  	0,007 		5,417	7394,23
	775		1286,726	1672,74		34,722  	0,007 		5,404	7394,19
	800		1280,436	1664,57		34,722  	0,007 		5,391	7394,15
	825		1274,146	1656,39		34,722  	0,007 		5,379	7394,11
	850		1267,856	1648,21		34,721  	0,007 		5,366	7394,06
	875		1261,567	1640,04		34,721  	0,007 		5,353	7394,02
	900		1255,277	1631,86		34,721  	0,007 		5,341	7393,98
	925		1248,987	1623,68		34,721  	0,007 		5,328	7393,94
	950		1242,697	1615,51		34,720  	0,007 		5,315	7393,90
	975		1236,408	1607,33		34,720  	0,007 		5,302	7393,86
	1000	1230,118	1599,15		34,720  	0,007 		5,290	7393,81
	1025	1223,829	1590,98		34,720  	0,007 		5,277	7393,77
	1050	1217,539	1582,80		34,719  	0,007 		5,264	7393,73
	1075	1211,250	1574,62		34,719  	0,007 		5,252	7393,69
	1100	1204,960	1566,45		34,719  	0,007 		5,239	7393,65
	1125	1198,670	1558,27		34,7191		0,007 		5,226	7393,61
	1150	1192,381	1550,09		34,718  	0,007 		5,213	7393,57
	1175	1186,092	1541,92		34,718  	0,007 		5,201	7393,52
	1200	1179,802	1533,74		34,718  	0,007 		5,188	7393,48
	1225	1173,513	1525,57		34,718  	0,007 		5,175	7393,44
	1250	1167,223	1517,39		34,717  	0,007 		5,162	7393,40
	1275	1160,933	1509,21		34,717  	0,007 		5,150	7393,36
	1300	1154,644	1501,04		34,7171		0,007 		5,137	7393,32
	1325	1148,354	1492,86		34,7171		0,007 		5,124	7393,27
	1350	1142,065	1484,68		34,716  	0,007 		5,111	7393,23
	1375	1135,775	1476,51		34,7161		0,007 		5,099	7393,19
	1400	1129,486	1468,33		34,716  	0,007 		5,086	7393,15
	1425	1123,197	1460,16		34,716  	0,007 		5,073	7393,11
	1450	1116,907	1451,98		34,715  	0,007 		5,060	7393,06
	1475	1110,618	1443,80		34,715  	0,007 		5,048	7393,02
	1500	1104,328	1435,63		34,715  	0,007 		5,035	7392,98
	1525	1098,039	1427,45		34,714  	0,007 		5,022	7392,94
	1550	1091,750	1419,27		34,714  	0,007 		5,009	7392,90
	1575	1085,461	1411,10		34,714  	0,007 		4,996	7392,86
	1600	1079,171	1402,92		34,713  	0,007 		4,984	7392,82
	1625	1072,882	1394,75		34,7131		0,007 		4,971	7392,77
	1650	1066,593	1386,57		34,7131		0,007 		4,958	7392,73
	1675	1060,303	1378,39		34,713  	0,007 		4,945	7392,69
	1700	1054,014	1370,22		34,712  	0,007 		4,933	7392,65
	1725	1047,725	1362,04		34,712  	0,007 		4,920	7392,61
	1750	1041,435	1353,87		34,712  	0,007 		4,907	7392,57
	1775	1035,146	1345,69		34,711  	0,007 		4,894	7392,53
	1800	1028,857	1337,51		34,711  	0,007 		4,881	7392,48
	1825	1022,568	1329,34		34,711  	0,007 		4,868	7392,44
	1850	1016,279	1321,16		34,710  	0,007 		4,856	7392,40
	1875	1009,990	1312,99		34,7101		0,007 		4,843	7392,36
	1900	1003,700	1304,81		34,709  	0,007 		4,830	7392,32
	1925	997,411		1296,63		34,709  	0,007 		4,817	7392,28
	1950	991,122		1288,46		34,709  	0,007 		4,804	7392,23
	1975	984,833		1280,28		34,708  	0,007 		4,791	7392,19
	2000	978,544		1272,11		34,708  	0,007 		4,779	7392,15
	2025	972,255		1263,93		34,708  	0,007 		4,766	7392,11
	2050	965,965		1255,75		34,7071		0,007 		4,753	7392,07
	2075	959,676		1247,58		34,707  	0,007 		4,740	7392,03
	2100	953,387		1239,40		34,706  	0,007 		4,727	7391,98
	2125	947,098		1231,23		34,706  	0,007 		4,714	7391,94
	2150	940,809		1223,05		34,706  	0,007 		4,701	7391,90
	2175	934,520		1214,88		34,705  	0,007 		4,689	7391,85
	2200	928,231		1206,70		34,7051		0,007 		4,676	7391,81
	2225	921,942		1198,52		34,704  	0,007 		4,663	7391,77
	2250	915,653		1190,35		34,704  	0,007 		4,650	7391,72
	2275	909,364		1182,17		34,704  	0,007 		4,637	7391,68
	2300	903,075		1174,00		34,703  	0,007 		4,624	7391,64
	2325	896,786		1165,82		34,703  	0,007 		4,611	7391,60
	2350	890,497		1157,65		34,702  	0,007 		4,598	7391,55
	2375	884,208		1149,47		34,702  	0,007 		4,585	7391,51
	2400	877,919		1141,29		34,701  	0,007 		4,572	7391,46
	2425	871,630		1133,12		34,701  	0,007 		4,559	7391,42
	2450	865,341		1124,94		34,700  	0,007 		4,546	7391,38
	2475	859,052		1116,77		34,700  	0,007 		4,534	7391,33
	2500	852,763		1108,59		34,699  	0,007 		4,521	7391,29
	2525	846,474		1100,42		34,699  	0,007 		4,508	7391,25
	2550	840,185		1092,24		34,698  	0,007 		4,495	7391,20
	2575	833,896		1084,07		34,698  	0,007 		4,482	7391,15
	2600	827,608		1075,89		34,697  	0,007 		4,469	7391,11
	2625	821,319		1067,71		34,697  	0,007 		4,456	7391,06
	2650	815,030		1059,54		34,696  	0,007 		4,443	7391,01
	2675	808,741		1051,36		34,696  	0,007 		4,430	7390,96
	2700	802,452		1043,19		34,695  	0,007 		4,417	7390,91
	2725	796,163		1035,01		34,6941		0,007 		4,404	7390,87
	2750	789,875		1026,84		34,694  	0,007 		4,391	7390,82
	2775	783,586		1018,66		34,6931		0,007 		4,378	7390,77
	2800	777,297		1010,49		34,693  	0,007 		4,365	7390,72
	2825	771,008		1002,31		34,692  	0,007 		4,351	7390,67
	2850	764,720		994,14		34,691  	0,007 		4,338	7390,63
	2875	758,431		985,96		34,691  	0,007 		4,325	7390,57
	2900	752,142		977,78		34,690  	0,007 		4,312	7390,52
	2925	745,854		969,61		34,690  	0,007 		4,299	7390,47
	2950	739,565		961,43		34,689  	0,007 		4,286	7390,41
	2975	733,276		953,26		34,688  	0,007 		4,273	7390,36
	3000	726,988		945,08		34,688  	0,007 		4,260	7390,30
	3025	720,699		936,91		34,687  	0,007 		4,247	7390,24
	3050	714,411		928,73		34,686  	0,007 		4,233	7390,18
	3075	708,122		920,56		34,685  	0,007 		4,220	7390,11
	3100	701,834		912,38		34,685  	0,007 		4,207	7390,05
	3125	695,545		904,21		34,684  	0,007 		4,194	7389,98
	3150	689,256		896,03		34,683  	0,007 		4,181	7389,90
	3175	682,968		887,86		34,682  	0,007 		4,168	7389,83
	3200	676,679		879,68		34,682  	0,007 		4,154	7389,75
	3225	670,391		871,51		34,681  	0,007 		4,141	7389,66
	3250	664,102		863,33		34,680  	0,007 		4,128	7389,58
	3275	657,814		855,16		34,679  	0,007 		4,115	7389,49
	3300	651,526		846,98		34,678  	0,007 		4,101	7389,40
	3325	645,237		838,81		34,677  	0,007 		4,088	7389,31
	3350	638,949		830,63		34,677  	0,007 		4,075	7389,21
	3375	632,661		822,46		34,676  	0,007 		4,061	7389,12
	3400	626,373		814,28		34,675  	0,007 		4,048	7389,02
	3425	620,084		806,11		34,674  	0,007 		4,035	7388,92
	3450	613,796		797,93		34,673  	0,007 		4,021	7388,82
	3475	607,508		789,76		34,672  	0,007 		4,008	7388,73
	3500	601,220		781,59		34,671  	0,007 		3,994	7388,63
	3525	594,932		773,41		34,670  	0,007 		3,981	7388,53
	3550	588,643		765,24		34,669  	0,007 		3,968	7388,43
	3575	582,355		757,06		34,668  	0,007 		3,954	7388,33
	3600	576,067		748,89		34,667  	0,007 		3,941	7388,23
