"Ull ge
MM"		"Volume
C,Metre"	"Weight
Tonne "		"LCG
Metre"	"TCG
Metre"		"VCG
Metre"	"  M
M,-MT"

Tank Hold1BC
	2925		668,181		868,63		88,218  	0,008 		4,287		5747,71
	2950		662,464		861,20		88,218  	0,008 		4,274		5739,84
	2975		656,750		853,78		88,218  	0,008 		4,260		5731,95
	3000		651,040		846,35		88,218  	0,008 		4,247		5724,07
	3025		645,333		838,93		88,219  	0,008 		4,233		5716,18
	3050		639,630		831,52		88,219  	0,008 		4,220		5708,27
	3075		633,930		824,11		88,219  	0,008 		4,206		5700,33
	3100		628,233		816,70		88,220  	0,008 		4,193		5692,40
	3125		622,540		809,30		88,220  	0,008 		4,180		5684,50
	3150		616,850		801,91		88,2201		0,008 		4,166		5676,59
	3175		611,164		794,51		88,221  	0,008 		4,153		5668,67
	3200		605,480		787,12		88,221  	0,008 		4,139		5660,76
	3225		599,801		779,74		88,222  	0,008 		4,126		5652,87
	3250		594,125		772,36		88,222  	0,008 		4,112		5644,96
	3275		588,452		764,99		88,223  	0,008 		4,099		5636,60
	3300		582,783		757,62		88,224  	0,008 		4,085		5628,13
	3325		577,118		750,25		88,224  	0,008 		4,071		5619,66
	3350		571,456		742,89		88,225  	0,008 		4,058		5611,19
	3375		565,799		735,54		88,226  	0,008 		4,044		5602,68
	3400		560,145		728,19		88,227  	0,008 		4,031		5594,15
	3425		554,495		720,84		88,227  	0,008 		4,017		5585,60
	3450		548,849		713,50		88,2281		0,008 		4,003		5577,03
	3475		543,206		706,17		88,229  	0,008 		3,990		5568,47
	3500		537,568		698,84		88,230  	0,008 		3,976		5559,91
	3525		531,933		691,51		88,231  	0,008 		3,963		5551,30
	3550		526,302		684,19		88,232  	0,008 		3,949		5542,71
	3575		520,675		676,88		88,234  	0,008 		3,935		5534,08
	3600		515,052		669,57		88,235  	0,008 		3,921		5524,91
	3625		509,434		662,26		88,236  	0,008 		3,908		5515,78
	3650		503,819		654,96		88,238  	0,007 		3,894		5506,68
	3675		498,209		647,67		88,239  	0,007 		3,880		5497,55
	3700		492,603		640,38		88,241  	0,007 		3,866		5488,43
	3725		487,001		633,10		88,242  	0,007 		3,853		5479,29
	3750		481,403		625,82		88,244  	0,007 		3,839		5470,14
	3775		475,810		618,55		88,246  	0,007 		3,825		5460,92
	3800		470,221		611,29		88,248  	0,007 		3,811		5451,25
	3825		464,636		604,03		88,250  	0,007 		3,797		5441,36
	3850		459,056		596,77		88,252  	0,007 		3,783		5427,25
	3875		453,483		589,53		88,254  	0,007 		3,769		5412,27
	3900		447,917		582,29		88,256  	0,007 		3,755		5388,14
	3925		442,360		575,07		88,258  	0,007 		3,741		5363,41
	3950		436,814		567,86		88,260  	0,007 		3,727		5339,00
	3975		431,277		560,66		88,263  	0,007 		3,713		5314,96
	4000		425,749		553,47		88,265  	0,007 		3,699		5291,30
	4025		420,232		546,30		88,268  	0,007 		3,685		5266,15
	4050		414,725		539,14		88,270  	0,007 		3,671		5241,20
	4075		409,228		532,00		88,273  	0,007 		3,657		5216,62
	4100		403,742		524,86		88,276  	0,007 		3,643		5192,39
	4125		398,265		517,75		88,279  	0,007 		3,629		5168,49
	4150		392,800		510,64		88,282  	0,007 		3,615		514321
	4175		387,345		503,55		88,285  	0,007 		3,601		5118,02
	4200		381,901		496,47		88,288  	0,007 		3,587		5093,17
	4225		376,469		489,41		88,292  	0,007 		3,572		5068,60
