

   TANK APT__A_P_TK_(C)
      3,500     3,500    359,69
      3,600     3,600    366,35
      3,700     3,700    373,08
      3,800     3,800    379,88
      3,900     3,900    386,74
      4,000     4,000    393,67
      4,100     4,100    400,65
      4,200     4,200    407,68
      4,210     4,210    408,39


TANK DBWB4FP__NO_4FDB_W_B_TK_(P)
     -0,000     0,000      0,00
      0,100     0,100     14,45
      0,200     0,200     29,60
      0,300     0,300     45,18
      0,400     0,400     61,10
      0,500     0,500     77,30
      0,600     0,600     93,75
      0,700     0,700    110,42
      0,800     0,800    127,28
      0,900     0,900    144,31
      1,000     1,000    161,50
      1,100     1,100    178,83
      1,200     1,200    196,29
      1,300     1,300    213,87
      1,400     1,400    231,57
      1,500     1,500    249,37
      1,600     1,600    267,26
      1,700     1,700    269,53
      1,800     1,800    271,89
      1,900     1,900    274,32
      2,000     2,000    276,82
      2,100     2,100    279,39
      2,200     2,200    282,03
      2,300     2,300    284,72
      2,400     2,400    287,46
      2,500     2,500    290,26
      2,600     2,600    293,09
      2,700     2,700    295,97
      2,800     2,800    298,88
      2,900     2,900    301,81
      3,000     3,000    304,77
      3,100     3,100    307,75
      3,200     3,200    310,75
      3,300     3,300    313,77
      3,400     3,400    316,80
      3,500     3,500    319,84
      3,600     3,600    322,89
      3,700     3,700    325,95
      3,800     3,800    329,02
      3,900     3,900    332,09
      4,000     4,000    335,16
      4,100     4,100    338,24
      4,200     4,200    341,32
      4,210     4,210    341,62


 TANK DBWB4FS__NO_4FDB_W_B_TK_(S)
     -0,000     0,000      0,00
      0,100     0,100     15,08
      0,200     0,200     30,87
      0,300     0,300     47,09
      0,400     0,400     63,64
      0,500     0,500     80,48
      0,600     0,600     97,57
      0,700     0,700    114,87
      0,800     0,800    132,36
      0,900     0,900    150,03
      1,000     1,000    167,85
      1,100     1,100    185,82
      1,200     1,200    203,92
      1,300     1,300    222,14
      1,400     1,400    240,47
      1,500     1,500    258,90
      1,600     1,600    277,43
      1,700     1,700    279,70
      1,800     1,800    282,06
      1,900     1,900    284,49
      2,000     2,000    286,99
      2,100     2,100    289,56
      2,200     2,200    292,19
      2,300     2,300    294,89
      2,400     2,400    297,63
      2,500     2,500    300,42
      2,600     2,600    303,26
      2,700     2,700    306,13
      2,800     2,800    309,04
      2,900     2,900    311,98
      3,000     3,000    314,94
      3,100     3,100    317,92
      3,200     3,200    320,92
      3,300     3,300    323,94
      3,400     3,400    326,97
      3,500     3,500    330,01
      3,600     3,600    333,06
      3,700     3,700    336,12
      3,800     3,800    339,18
      3,900     3,900    342,25
      4,000     4,000    345,33
      4,100     4,100    348,40
      4,200     4,200    351,48
      4,210     4,210    351,79



TANK DBWB5P__NO_5DB_W_B_TK_(P)
     -0,000     0,000      0,00
      0,100     0,100      5,74
      0,200     0,200     12,38
      0,300     0,300     19,60
      0,400     0,400     27,31
      0,500     0,500     35,44
      0,600     0,600     43,95
      0,700     0,700     52,81
      0,800     0,800     62,00
      0,900     0,900     71,50
      1,000     1,000     81,31
      1,100     1,100     91,40
      1,200     1,200    101,78
      1,300     1,300    112,42
      1,400     1,400    123,32
      1,600     1,600    145,89



 TANK DBWB5S__NO_5DB_W_B_TK_(S)
     -0,000     0,000      0,00
      0,100     0,100      5,74
      0,200     0,200     12,38
      0,300     0,300     19,60
      0,400     0,400     27,31
      0,500     0,500     35,44
      0,600     0,600     43,95
      0,700     0,700     52,81
      0,800     0,800     62,00
      0,900     0,900     71,50
      1,000     1,000     81,31
      1,100     1,100     91,40
      1,200     1,200    101,78
      1,300     1,300    112,42
      1,400     1,400    123,32
      1,600     1,600    145,89


TANK FPT__F_P_TK_(C)
      0,027     0,000      0,00
      0,127     0,100      0,04
      0,227     0,200      0,20
      0,327     0,300      0,47
      0,427     0,400      0,87
      0,527     0,500      1,38
      0,627     0,600      2,02
      0,727     0,700      2,78
      0,827     0,800      3,66
      0,927     0,900      4,66
      1,027     1,000      5,79
      1,127     1,100      7,03
      1,227     1,200      8,41
      1,327     1,300      9,91
      1,427     1,400     11,55
      1,527     1,500     13,33
      1,627     1,600     15,22
      1,727     1,700     17,26
      1,827     1,800     19,42
      1,927     1,900     21,73
      2,027     2,000     24,17
      2,127     2,100     26,73
      2,227     2,200     29,42
      2,327     2,300     32,25
      2,427     2,400     35,22
      2,527     2,500     38,33
      2,627     2,600     41,57
      2,727     2,700     44,96
      2,827     2,800     48,45
      2,927     2,900     52,07
      3,027     3,000     55,84
      3,127     3,100     59,75
      3,227     3,200     63,79
      3,327     3,300     67,97
      3,427     3,400     72,29
      3,527     3,500     76,74
      3,627     3,600     81,34
      3,727     3,700     86,04
      3,827     3,800     90,86
      3,927     3,900     95,82
      4,027     4,000    100,93
      4,127     4,100    106,17
      4,227     4,200    111,54
      4,327     4,300    117,03
      4,427     4,400    122,65
      4,527     4,500    128,40
      4,627     4,600    134,28
      4,727     4,700    140,27
      4,827     4,800    146,38
      4,927     4,900    152,59
      5,027     5,000    158,91
      5,127     5,100    165,31
      5,227     5,200    171,81
      5,327     5,300    178,41
      5,427     5,400    185,11

      5,527     5,500    191,88
      5,627     5,600    198,73
      5,727     5,700    205,65
      5,827     5,800    212,63
      5,927     5,900    219,65
      6,027     6,000    226,72
      6,127     6,100    233,81
      6,227     6,200    240,93
      6,327     6,300    248,07
      6,427     6,400    255,20
      6,527     6,500    262,33
      6,627     6,600    269,44
      6,727     6,700    276,50
      6,827     6,800    283,49
      6,927     6,900    290,40
      7,027     7,000    297,24
      7,127     7,100    304,01
      7,227     7,200    310,69
      7,327     7,300    317,23
      7,427     7,400    323,64
      7,527     7,500    329,88
      7,627     7,600    335,95
      7,727     7,700    341,83
      7,827     7,800    347,50
      7,927     7,900    352,94
      8,027     8,000    358,14
      8,127     8,100    363,10
      8,227     8,200    367,80
      8,327     8,300    372,22
      8,427     8,400    376,38
      8,527     8,500    380,34
      8,627     8,600    384,01
      8,727     8,700    387,34
      8,827     8,800    390,11
      8,927     8,900    392,58
      9,027     9,000    394,43
      9,127     9,100    396,47
      9,227     9,200    398,44
      9,327     9,300    400,36
      9,427     9,400    402,24
      9,527     9,500    404,01
      9,627     9,600    405,75
      9,727     9,700    407,48
      9,827     9,800    409,19
      9,927     9,900    410,90
     10,027    10,000    412,71
     10,127    10,100    414,44
     10,227    10,200    416,19
     10,327    10,300    417,94
     10,427    10,400    419,71
     10,527    10,500    421,51
     10,627    10,600    423,32
     10,727    10,700    425,17
     10,827    10,800    426,96
     10,927    10,900    428,88
     11,027    11,000    430,84
     11,127    11,100    432,85
     11,227    11,200    434,91
     11,327    11,300    437,04
     11,427    11,400    439,23
     11,527    11,500    441,50
     11,627    11,600    443,84
     11,727    11,700    446,26
     11,827    11,800    448,78
