P906-0111 14-04-12 S046261 0.85 3.5 25 6.710 1026.000 0.204 1.111 2.019 2.929 3.840 4.751 5.663 6.576 7.491 8.405 9.314 23.270 1090.000 0.214 1.124 2.034 2.945 3.859 4.774 5.688 6.603 7.519 8.435 9.345 49.48 1191.0 0.225 1.137 2.048 2.962 3.877 4.790 5.707 6.624 7.541 8.459 9.366 78.62 1303.0 0.230 1.142 2.055 2.971 3.888 4.804 5.724 6.641 7.560 8.478 9.386
P906-0111 14-02-21 S045978 0.85 3.5 25 7.742 1030.222 0.571 1.489 2.411 3.337 4.259 5.185 6.111 7.037 7.965 8.891 9.818 25.087 1097.674 0.571 1.491 2.418 3.345 4.271 5.2 6.127 7.056 7.985 8.916 9.847 48.143 1186.8 0.589 1.509 2.437 3.366 4.294 5.223 6.154 7.086 8.014 8.946 9.876 75.561 1291.982 0.548 1.473 2.401 3.332 4.262 5.193 6.123 7.056 7.987 8.917 9.85
P906-0111 14-02-21 S045990 0.85 3.5 25 6.609 1025.801 0.285 1.224 2.164 3.107 4.046 4.991 5.932 6.876 7.819 8.762 9.708 24.941 1097.109 0.283 1.224 2.166 3.113 4.057 5.004 5.946 6.896 7.843 8.788 9.737 49.75 1192.988 0.278 1.22 2.164 3.111 4.059 5.005 5.953 6.901 7.849 8.797 9.747 78.263 1302.3 0.272 1.212 2.155 3.106 4.056 5.006 5.955 6.903 7.855 8.801 9.753
P906-0111 11-11-28 S036175 0.85 3.5 25 8.627 1033.671 0.21 1.136 2.064 2.994 3.92 4.849 5.783 6.713 7.644 8.577 9.508 24.092 1093.816 0.197 1.125 2.054 2.983 3.915 4.847 5.781 6.714 7.649 8.581 9.518 49.548 1192.209 0.173 1.102 2.033 2.966 3.899 4.834 5.768 6.705 7.639 8.577 9.512 77.907 1300.942 0.14 1.07 2.003 2.938 3.875 4.811 5.748 6.686 7.623 8.56 9.499
